1,M,40
2,M,27
3,M,41
4,F,43
5,F,16
6,M,36
7,F,36
8,F,46
9,M,50
10,M,21
11,F,11
12,M,42
13,F,40
14,F,28
15,M,25
16,M,68
17,M,53
18,F,69
19,F,48
20,F,56
21,F,36
22,F,66
23,F,30
24,F,40
25,M,46
26,M,35
27,M,45
28,M,24
29,F,41
30,F,47
31,M,47
32,M,33
33,M,32
34,F,40
35,F,66
36,F,62
37,F,42
38,M,41
39,F,22
40,F,52
41,F,50
42,M,49
43,M,34
44,F,76
45,M,52
46,F,47
47,F,58
48,F,34
49,M,28
50,M,63
51,F,18
52,M,23
53,F,37
54,F,18
55,M,32
56,M,41
57,F,30
58,F,38
59,F,21
60,F,49
61,F,68
62,M,35
63,F,49
64,M,44
65,M,14
66,F,33
67,M,48
68,F,64
69,M,38
70,M,35
71,M,69
72,F,49
73,F,28
74,M,39
75,M,36
76,F,18
77,F,32
78,F,68
79,F,32
80,M,51
81,M,45
82,M,80
83,M,46
84,M,48
85,F,31
86,M,47
87,F,42
88,F,62
89,M,40
90,F,51
91,M,19
92,M,44
93,M,25
94,M,39
95,F,42
96,M,76
97,F,23
98,M,15
99,F,37
100,M,50
101,F,41
102,F,38
103,F,27
104,M,54
105,F,47
106,M,56
107,F,29
108,M,33
109,M,69
110,F,31
111,F,40
112,M,47
113,F,59
114,F,39
115,F,45
116,M,74
117,F,34
118,F,25
119,F,49
120,F,36
121,M,46
122,F,36
123,F,41
124,F,24
125,F,46
126,M,36
127,M,48
128,M,22
129,F,38
130,F,67
131,F,40
132,M,36
133,M,47
134,F,74
135,M,32
136,F,43
137,F,33
138,M,39
139,M,54
140,M,30
141,M,35
142,M,44
143,M,56
144,M,33
145,M,41
146,M,50
147,M,30
148,F,70
149,M,25
150,M,41
151,F,36
152,F,26
153,F,55
154,F,65
155,F,50
156,F,34
157,M,35
158,F,43
159,M,56
160,F,58
161,M,34
162,M,61
163,F,32
164,F,31
165,F,59
166,F,41
167,M,22
168,M,18
169,M,43
170,F,34
171,M,33
172,F,56
173,M,67
174,F,43
175,F,48
176,M,34
177,F,51
178,F,32
179,F,68
180,M,32
181,F,42
182,M,27
183,F,34
184,M,27
185,M,35
186,M,35
187,M,37
188,F,24
189,F,43
190,M,24
191,F,39
192,M,43
193,F,15
194,F,48
195,M,23
196,M,50
197,M,61
198,F,27
199,M,56
200,M,61
