1,2013-01-24,5600
2,2011-03-02,5400
3,2011-03-14,8100
4,2012-10-05,2200
5,2011-09-03,14100
6,2011-03-05,6500
7,2012-06-06,37000
8,2013-02-18,5500
9,2010-07-05,7500
10,2010-01-23,6700
11,2011-09-19,5200
12,2010-01-19,29700
13,2013-09-28,6000
14,2013-10-23,3300
15,2010-10-09,2700
16,2010-07-14,5100
17,2010-05-13,29000
18,2010-01-16,21800
19,2013-05-23,5700
20,2011-04-24,5900
21,2011-09-07,4500
22,2011-02-20,8100
23,2012-10-15,6300
24,2010-04-16,15500
25,2011-08-22,6300
26,2011-08-10,8800
27,2010-09-01,7700
28,2013-10-16,4300
29,2010-03-04,8100
30,2010-05-01,9200
31,2011-04-16,7700
32,2013-09-04,2300
33,2010-05-26,17400
34,2011-04-14,4000
35,2010-09-29,5700
36,2010-04-11,2800
37,2010-07-26,3600
38,2011-05-04,17200
39,2013-04-03,6000
40,2011-10-21,8400
41,2010-01-11,5600
42,2012-03-17,6400
43,2010-07-10,8800
44,2010-09-22,22100
45,2012-08-31,4000
46,2011-06-11,8800
47,2010-03-08,5400
48,2010-04-29,8300
49,2011-02-05,14500
50,2011-10-24,7500
51,2011-04-17,7400
52,2011-03-19,4000
53,2010-07-02,5300
54,2010-07-21,15700
55,2013-08-09,2800
56,2013-01-14,48900
57,2011-06-14,4100
58,2010-07-30,12300
59,2010-05-13,9100
60,2013-06-19,7600
61,2010-03-13,9700
62,2013-10-15,5000
63,2012-10-02,4900
64,2010-06-08,6300
65,2010-08-02,3300
66,2010-05-03,8600
67,2013-08-23,11300
68,2010-10-03,7300
69,2010-05-23,5200
70,2010-03-28,26400
71,2010-02-05,9300
72,2010-06-18,6900
73,2013-07-08,7500
74,2010-04-04,6600
75,2011-05-27,8700
76,2011-03-17,8800
77,2013-03-03,6500
78,2012-01-29,6800
79,2010-07-19,4900
80,2010-01-13,5600
81,2013-01-22,7800
82,2010-07-05,7500
83,2010-04-17,3200
84,2010-10-13,16100
85,2010-06-26,5400
86,2011-07-04,7500
87,2010-05-29,2100
88,2012-02-04,6500
89,2013-06-15,8400
90,2010-01-04,3600
91,2010-09-07,6900
92,2012-05-19,5700
93,2010-08-13,15300
94,2011-05-11,15700
95,2013-09-23,6100
96,2011-05-27,14900
97,2010-03-30,2700
98,2010-01-15,2900
99,2013-07-21,12900
100,2010-07-22,7500
101,2013-03-10,7100
102,2010-07-04,9500
103,2010-01-02,7000
104,2012-05-02,8700
105,2013-04-28,8000
106,2011-04-25,5200
107,2010-10-23,9200
108,2010-07-21,5900
109,2010-07-14,8900
110,2010-09-10,3400
111,2012-05-05,6400
112,2010-10-16,2000
113,2013-03-31,8200
114,2013-08-01,8300
115,2010-04-23,5100
116,2011-10-16,6100
117,2010-03-01,3100
118,2010-06-23,4100
119,2011-10-17,14400
120,2013-07-10,3200
121,2010-06-19,5300
122,2013-04-25,9100
123,2010-06-22,3900
124,2013-09-14,7900
125,2010-03-08,5100
126,2010-01-06,8500
127,2010-08-16,5800
128,2010-05-27,12800
129,2010-03-01,14900
130,2010-08-16,9500
131,2010-01-24,5400
132,2010-05-10,6000
133,2011-01-31,3200
134,2010-08-12,4300
135,2012-09-01,6900
136,2010-08-29,6600
137,2010-01-20,7400
138,2012-02-23,4800
139,2012-09-26,8700
140,2010-02-23,9100
141,2011-10-05,5200
142,2010-04-18,44500
143,2010-06-28,10800
144,2010-09-18,12600
145,2013-08-02,6800
146,2013-09-28,8500
147,2011-09-20,19900
148,2012-09-02,9200
149,2010-03-19,11200
150,2012-01-14,3700
151,2013-02-21,6400
152,2012-09-28,7500
153,2010-05-02,5400
154,2010-03-19,17700
155,2010-10-13,2700
156,2010-09-19,9400
157,2011-08-26,10500
158,2011-08-29,9800
159,2011-02-22,18200
160,2010-03-14,5100
161,2010-08-23,6900
162,2010-01-28,11700
163,2013-07-02,6600
164,2011-09-22,6700
165,2010-07-06,7800
166,2010-01-25,8900
167,2013-06-02,9400
168,2013-01-13,2400
169,2011-03-02,2700
170,2013-02-24,5300
171,2010-10-09,5100
172,2010-09-07,6100
173,2013-09-13,5200
174,2013-05-09,4500
175,2013-09-12,36700
176,2012-05-04,8800
177,2010-08-17,12600
178,2011-08-16,8300
179,2010-08-11,5300
180,2010-04-28,8000
181,2010-04-24,6300
182,2010-03-01,10400
183,2010-05-20,6500
184,2010-01-03,4600
185,2013-09-21,5300
186,2010-04-22,7800
187,2010-08-08,6100
188,2010-07-14,6000
189,2011-06-19,6000
190,2010-01-10,12300
191,2011-07-27,2400
192,2012-02-14,12200
193,2010-02-28,2800
194,2011-10-14,14400
195,2012-03-12,3500
196,2010-04-11,3800
197,2013-03-13,18000
198,2010-07-20,41600
199,2013-10-02,9800
200,2013-02-05,7100
